"year","state","party","candidatevotes","totalvotes","percentage"
2000,"ALABAMA","REPUBLICAN",944409,1672551,56.4651840212944
2000,"ALASKA","REPUBLICAN",167398,285530,58.6271144888453
2000,"ARIZONA","REPUBLICAN",781652,1534113,50.9513966702583
2000,"ARKANSAS","REPUBLICAN",472940,921781,51.3071976966329
2000,"CALIFORNIA","DEMOCRAT",5861203,10965856,53.4495711050738
2000,"COLORADO","REPUBLICAN",883745,1741365,50.7501299268103
2000,"CONNECTICUT","DEMOCRAT",816015,1459525,55.9096281324403
2000,"DELAWARE","DEMOCRAT",180068,327529,54.9777271630909
2000,"DISTRICT OF COLUMBIA","DEMOCRAT",171923,201894,85.1550813793377
2000,"FLORIDA","DEMOCRAT",2911417,5960660,48.8438696385971
2000,"GEORGIA","REPUBLICAN",1419720,2596804,54.6718196675606
2000,"HAWAII","DEMOCRAT",205242,367871,55.7918400743739
2000,"IDAHO","REPUBLICAN",336937,501621,67.1696360399585
2000,"ILLINOIS","DEMOCRAT",2589026,4742123,54.5963485131027
2000,"INDIANA","REPUBLICAN",1245836,2199305,56.6468043313683
2000,"IOWA","DEMOCRAT",638517,1315563,48.5356459553818
2000,"KANSAS","REPUBLICAN",622332,1072216,58.0416632469577
2000,"KENTUCKY","REPUBLICAN",872492,1544187,56.5017060757538
2000,"LOUISIANA","REPUBLICAN",927871,1765656,52.5510631742537
2000,"MAINE","DEMOCRAT",319951,651817,49.086016473949
2000,"MARYLAND","DEMOCRAT",1145782,2025480,56.5684183502182
2000,"MASSACHUSETTS","DEMOCRAT",1616487,2702984,59.8037946210558
2000,"MICHIGAN","DEMOCRAT",2170418,4232711,51.2772546956312
2000,"MINNESOTA","DEMOCRAT",1168266,2438685,47.9055720603522
2000,"MISSISSIPPI","REPUBLICAN",573230,994926,57.6153402363593
2000,"MISSOURI","REPUBLICAN",1189924,2359892,50.4228159593744
2000,"MONTANA","REPUBLICAN",240178,410986,58.4394602249225
2000,"NEBRASKA","REPUBLICAN",433862,697019,62.2453620346074
2000,"NEVADA","REPUBLICAN",301575,608970,49.5221439479777
2000,"NEW HAMPSHIRE","REPUBLICAN",273559,569081,48.0703098504431
2000,"NEW JERSEY","DEMOCRAT",1788850,3187226,56.1256089150879
2000,"NEW MEXICO","DEMOCRAT",286783,598605,47.9085540548442
2000,"NEW YORK","DEMOCRAT",4107697,6821999,60.2125124908403
2000,"NORTH CAROLINA","REPUBLICAN",1631163,2911262,56.0294126739538
2000,"NORTH DAKOTA","REPUBLICAN",174852,288267,60.6562665861857
